Instruments,Intervals,Participant_ID,rating_stimulus,rating_score
cello,C4C#4,4,wav_muk_EQ,66
cello,C4C#4,5,wav_muk_EQ,100
cello,C4C#4,6,wav_muk_EQ,31
cello,C4C#4,7,wav_muk_EQ,67
cello,C4C#4,8,wav_muk_EQ,21
cello,C4C#4,1,96k_muk_EQ,23
cello,C4C#4,11,96k_muk_EQ,73
cello,C4C#4,12,96k_muk_EQ,49
cello,C4C#4,13,96k_muk_EQ,33
cello,C4C#4,14,96k_muk_EQ,59
cello,C4C#4,15,96k_muk_EQ,58
cello,C4C#4,16,96k_muk_EQ,60
cello,C4C#4,17,96k_muk_EQ,60
cello,C4C#4,2,96k_muk_EQ,64
cello,C4C#4,4,96k_muk_EQ,69
cello,C4C#4,5,96k_muk_EQ,70
cello,C4C#4,6,96k_muk_EQ,42
cello,C4C#4,7,96k_muk_EQ,32
cello,C4C#4,8,96k_muk_EQ,22
cello,C4C#4,1,wav,60
cello,C4C#4,11,wav,100
cello,C4C#4,12,wav,38
cello,C4C#4,13,wav,29
cello,C4C#4,14,wav,60
cello,C4C#4,15,wav,73
cello,C4C#4,16,wav,71
cello,C4C#4,17,wav,80
cello,C4C#4,2,wav,63
cello,C4C#4,4,wav,85
cello,C4C#4,5,wav,85
cello,C4C#4,6,wav,100
cello,C4C#4,7,wav,72
cello,C4C#4,8,wav,99
piano,C3A#3,16,32k,33
pipeorgan,C3A#3,17,32k,33
pipeorgan,C3G3,16,32k,33
cello,C3F#3,4,32k,32
piano,C3A#3,4,32k,32
piano,C3A#3,7,32k,32
piano,C3F#3,5,32k,32
piano,C3G3,17,32k,32
piano,C3G3,5,32k,32
piano,C4A#4,1,32k,32
piano,C4A#4,17,32k,32
piano,C4C#4,12,32k,32
piano,C4C#4,2,32k,32
piano,C4G4,7,32k,32
cello,C4F#4,1,96k,22
cello,C4F#4,11,96k,100
cello,C4F#4,12,96k,87
cello,C4F#4,13,96k,74
cello,C4F#4,14,96k,56
cello,C4F#4,15,96k,76
cello,C4F#4,16,96k,72
cello,C4F#4,17,96k,83
cello,C4F#4,2,96k,50
cello,C4F#4,4,96k,88
cello,C4F#4,5,96k,76
cello,C4F#4,6,96k,100
cello,C4F#4,7,96k,64
cello,C4F#4,8,96k,100
cello,C4F#4,1,wav_ak_EQ,21
cello,C4F#4,11,wav_ak_EQ,59
cello,C4F#4,12,wav_ak_EQ,44
cello,C4F#4,13,wav_ak_EQ,40
cello,C4F#4,14,wav_ak_EQ,80
cello,C4F#4,15,wav_ak_EQ,46
cello,C4F#4,16,wav_ak_EQ,71
cello,C4F#4,17,wav_ak_EQ,49
cello,C4F#4,2,wav_ak_EQ,62
cello,C4F#4,4,wav_ak_EQ,56
cello,C4F#4,5,wav_ak_EQ,63
cello,C4F#4,6,wav_ak_EQ,86
cello,C4F#4,7,wav_ak_EQ,74
cello,C4F#4,8,wav_ak_EQ,80
cello,C4F#4,1,96k_ak_EQ,30
cello,C4F#4,11,96k_ak_EQ,59
cello,C4F#4,12,96k_ak_EQ,36
cello,C4F#4,13,96k_ak_EQ,42
cello,C4F#4,14,96k_ak_EQ,20
cello,C4F#4,15,96k_ak_EQ,50
cello,C4F#4,16,96k_ak_EQ,86
cello,C4F#4,17,96k_ak_EQ,44
cello,C4F#4,2,96k_ak_EQ,64
cello,C4F#4,4,96k_ak_EQ,74
cello,C4F#4,5,96k_ak_EQ,64
cello,C4F#4,6,96k_ak_EQ,69
cello,C4F#4,7,96k_ak_EQ,30
cello,C4F#4,8,96k_ak_EQ,80
cello,C4F#4,1,wav_muk_EQ,59
cello,C4F#4,11,wav_muk_EQ,83
cello,C4F#4,12,wav_muk_EQ,52
cello,C4F#4,13,wav_muk_EQ,66
cello,C4F#4,14,wav_muk_EQ,78
cello,C4F#4,15,wav_muk_EQ,49
cello,C4F#4,16,wav_muk_EQ,33
cello,C4F#4,17,wav_muk_EQ,62
cello,C4F#4,2,wav_muk_EQ,100
cello,C4F#4,4,wav_muk_EQ,87
cello,C4F#4,5,wav_muk_EQ,100
cello,C4F#4,6,wav_muk_EQ,100
cello,C4F#4,7,wav_muk_EQ,81
cello,C4F#4,8,wav_muk_EQ,20
cello,C4F#4,1,96k_muk_EQ,81
cello,C4F#4,11,96k_muk_EQ,45
cello,C4F#4,12,96k_muk_EQ,44
cello,C4F#4,13,96k_muk_EQ,58
cello,C4F#4,14,96k_muk_EQ,56
cello,C4F#4,15,96k_muk_EQ,78
cello,C4F#4,16,96k_muk_EQ,55
cello,C4F#4,17,96k_muk_EQ,83
cello,C4F#4,2,96k_muk_EQ,63
cello,C4F#4,4,96k_muk_EQ,70
cello,C4F#4,5,96k_muk_EQ,66
cello,C4F#4,6,96k_muk_EQ,84
cello,C4F#4,7,96k_muk_EQ,42
cello,C4F#4,8,96k_muk_EQ,20
cello,C4F#4,1,wav,28
cello,C4F#4,11,wav,90
cello,C4F#4,12,wav,95
cello,C4F#4,13,wav,40
cello,C4F#4,14,wav,40
cello,C4F#4,15,wav,73
cello,C4F#4,16,wav,24
cello,C4F#4,17,wav,92
cello,C4F#4,2,wav,92
cello,C4F#4,4,wav,90
cello,C4F#4,5,wav,86
cello,C4F#4,6,wav,100
cello,C4F#4,7,wav,90
cello,C4F#4,8,wav,100
pipeorgan,C3C#3,8,32k,32
pipeorgan,C4F#4,8,32k,32
cello,C3G3,4,32k,31
cello,C4A#4,7,32k,31
piano,C3C#3,7,32k,31
piano,C4C#4,5,32k,31
