Instruments,Intervals,rating_stimulus,rating_score,HAAQI,PEAQ_B,PEAQ_ADV,VISQ,PEMO
piano,C4F#4,wav_ak_EQ,895,0.4543581496815694,0.7797499999999999,0.143,0.9104502224979764,0.41534098524999996
piano,C4F#4,wav_muk_EQ,851,0.5605096185713179,0.174,0.36875,0.3545353346432517,0.29496534649999995
piano,C4G4,32k,936,0.5623124915029551,0.39975,0.0567499999999999,0.9319766248703572,0.17644530925000002
piano,C4G4,96k,1024,0.9013674129419798,0.62,0.7625,0.9328690748089774,0.43495019125
piano,C4G4,96k_ak_EQ,858,0.4350676868002055,0.4379999999999999,0.14475,0.9099756634728122,0.5216300657499999
piano,C4G4,96k_muk_EQ,697,0.5647014432739156,0.048,0.05,0.6161247024243308,0.22583566524999998
piano,C4G4,wav,991,1.0,1.0,1.0,1.0,1.0
piano,C4G4,wav_ak_EQ,890,0.4783698334410703,0.7130000000000001,0.149,0.9107729962133816,0.5619614992499999
piano,C4G4,wav_muk_EQ,746,0.5964290708463725,0.1069999999999999,0.372,0.5409047672620964,0.27158745274999996
pipeorgan,C3A#3,32k,592,0.5674472192356302,0.3105,0.1122499999999999,0.9260616806319664,0.2069167435
pipeorgan,C3A#3,96k,973,0.9094201374857184,0.718,0.889,0.9324092803432888,0.946144787
pipeorgan,C3A#3,96k_ak_EQ,461,0.616804467755239,0.4077499999999999,0.0969999999999999,0.9219041895920044,0.790286245
pipeorgan,C3A#3,96k_muk_EQ,938,0.6675864469488182,0.2825,0.2987499999999999,0.9158080819900732,0.6680942052500001
pipeorgan,C3A#3,wav,1156,1.0,1.0,1.0,1.0,1.0
pipeorgan,C3A#3,wav_ak_EQ,532,0.6798901924040228,0.528,0.0969999999999999,0.922446485934171,0.81180602625
pipeorgan,C3A#3,wav_muk_EQ,850,0.7319098901875178,0.4735,0.4425,0.9154967498981575,0.69599560275
pipeorgan,C3C#3,32k,741,0.7134658814382435,0.311,0.09325,0.9255283135481028,0.24866789899999997
pipeorgan,C3C#3,96k,900,0.9719050595840012,0.538,0.88775,0.9324041628067556,0.9106308075
pipeorgan,C3C#3,96k_ak_EQ,732,0.8287897368004763,0.3425,0.5507500000000001,0.9132165421071394,0.7855902545
pipeorgan,C3C#3,96k_muk_EQ,887,0.768534191548886,0.1122499999999999,0.3355,0.90853420365918,0.7479112245
pipeorgan,C3C#3,wav,906,1.0,1.0,1.0,1.0,1.0
pipeorgan,C3C#3,wav_ak_EQ,698,0.8348799018391417,0.66875,0.8265,0.9140115123926752,0.83648136175
pipeorgan,C3C#3,wav_muk_EQ,724,0.7822556953492067,0.31325,0.48275,0.9092768897099506,0.8318316875
pipeorgan,C3F#3,32k,568,0.5924673632589494,0.3165,0.10675,0.9237084690595758,0.26396925775
pipeorgan,C3F#3,96k,1032,0.965042328904506,0.63375,0.88925,0.9325088605284096,0.93469638825
pipeorgan,C3F#3,96k_ak_EQ,603,0.674129959388171,0.39375,0.1042499999999999,0.9225237017468128,0.58638210925
pipeorgan,C3F#3,96k_muk_EQ,808,0.7787250969797579,0.1222499999999999,0.3722499999999999,0.8985095533961407,0.697495737
pipeorgan,C3F#3,wav,1126,1.0,1.0,1.0,1.0,1.0
pipeorgan,C3F#3,wav_ak_EQ,627,0.6996069852801199,0.60075,0.1075,0.9237038438863788,0.6014712197500001
pipeorgan,C3F#3,wav_muk_EQ,695,0.8039934501968502,0.2734999999999999,0.5217499999999999,0.8969898253750943,0.76989247925
pipeorgan,C3G3,32k,587,0.3734633278680298,0.27975,0.0942499999999999,0.9253783107181256,0.19283811824999997
pipeorgan,C3G3,96k,1010,0.8802616627708468,0.6072500000000001,0.87275,0.9324962261310764,0.94295036275
pipeorgan,C3G3,96k_ak_EQ,466,0.4400313107518435,0.3245,0.0969999999999999,0.9197552308459516,0.7489305985
pipeorgan,C3G3,96k_muk_EQ,896,0.5919667021179269,0.2514999999999999,0.163,0.9178955429564692,0.72096161075
pipeorgan,C3G3,wav,988,1.0,1.0,1.0,1.0,1.0
pipeorgan,C3G3,wav_ak_EQ,560,0.4713664512659586,0.45925,0.0969999999999999,0.9204501774090929,0.75394898175
pipeorgan,C3G3,wav_muk_EQ,864,0.6808609007401805,0.522,0.2049999999999999,0.9172853257878276,0.79155455475
