score,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.425,57.33,32.26,1.9,-4.91,5.26,5.13,190.0,19.88,32.43,0.98,-5.5,6.22,0.35,199.41,15.81,32.9,1.15,-11.97,9.18,7.73,170.65,17.82,32.3,1.14,-5.49,3.82,4.07,122.25
0.38,57.33,43.03,1.85,-4.91,5.26,5.13,66.65,18.32,32.43,0.65,-5.5,2.64,0.35,172.39,15.81,32.9,1.48,-4.22,3.16,7.73,267.63,57.04,35.2,1.15,-11.57,3.82,3.17,206.55
0.37,25.69,32.26,1.85,-4.91,5.26,5.13,66.65,19.88,32.43,0.98,-5.5,2.64,8.59,172.39,44.68,41.52,1.12,-11.97,3.36,9.12,170.65,17.82,35.2,1.14,-11.57,3.82,4.07,122.25
0.416,57.33,32.26,0.94,-13.18,5.85,5.13,66.65,19.88,32.43,0.65,-5.5,6.22,0.35,282.46,15.81,41.52,1.15,-11.97,3.16,9.12,170.65,17.82,35.2,1.14,-11.57,4.37,3.17,206.55
0.369,25.69,43.03,1.85,-13.18,5.85,2.27,66.65,19.88,39.95,0.65,-5.5,6.22,0.35,282.46,44.68,41.52,1.15,-4.22,9.18,7.73,267.63,17.82,35.2,1.14,-11.57,4.37,3.17,155.79
0.397,25.69,43.03,1.85,-4.91,5.26,2.27,190.0,18.32,39.95,0.98,-0.32,2.64,8.59,282.46,15.81,40.58,1.12,-11.97,9.18,7.73,170.65,17.82,32.3,1.14,-11.57,3.82,3.17,122.25
0.359,57.33,43.03,1.85,-4.91,5.85,2.27,66.65,19.88,32.43,0.65,-5.5,2.64,8.59,282.46,44.68,32.9,1.12,-11.97,3.34,7.73,170.65,17.82,35.2,1.14,-11.57,3.82,3.17,206.55
0.381,25.69,32.26,1.85,-13.18,2.23,5.13,66.65,18.32,32.43,0.98,-0.32,2.64,0.35,172.39,44.68,32.9,1.15,-4.22,9.18,7.73,267.63,17.82,35.2,1.15,-5.49,3.82,3.17,206.55
0.304,57.33,32.26,1.85,-4.91,5.26,2.27,190.0,19.88,39.95,0.98,-0.32,6.22,0.35,172.39,55.63,41.52,1.12,-4.22,3.16,7.73,170.65,57.04,35.2,1.14,-5.49,4.37,3.17,122.25
0.414,28.68,32.26,1.85,-13.18,5.26,5.13,66.65,18.32,32.43,0.65,-5.5,2.64,0.35,172.39,44.68,32.9,1.12,-4.22,3.16,9.12,170.65,17.82,32.3,1.14,-11.57,4.37,3.17,122.25
0.387,25.69,32.26,1.85,-4.91,5.85,5.13,66.65,18.32,39.95,0.98,-0.32,2.64,8.59,172.39,15.81,41.52,1.15,-11.97,9.18,7.73,267.63,23.01,32.3,1.14,-5.49,4.37,3.17,122.25
0.36,25.69,43.03,1.9,-14.78,5.26,2.27,190.0,19.88,32.43,0.65,-5.5,6.22,0.35,282.46,44.68,41.52,1.15,-11.97,3.16,9.12,170.65,57.04,32.3,1.15,-11.57,3.82,3.17,206.55
0.375,25.69,32.26,1.9,-4.91,5.26,5.13,66.65,19.88,32.43,0.98,-5.5,6.22,0.35,172.39,15.81,51.55,1.15,-4.22,3.16,7.73,170.65,57.04,35.2,1.14,-5.49,4.37,4.07,206.55
0.377,19.14,43.03,1.9,-4.91,5.85,5.13,66.65,19.88,32.43,0.65,-0.32,2.64,0.35,172.39,15.81,41.52,1.12,-11.97,9.18,9.12,267.63,57.04,32.3,1.14,-5.49,3.82,4.07,206.55
0.366,25.69,43.03,1.9,-13.18,5.26,5.13,66.65,18.32,39.95,0.65,-11.13,2.64,8.59,172.39,44.68,41.52,1.12,-4.22,3.16,9.12,267.63,17.82,32.3,1.14,-5.49,3.82,3.17,206.55
0.4,25.69,32.26,1.85,-13.18,5.26,2.27,66.65,18.32,39.95,0.98,-5.5,6.22,8.59,282.46,44.68,41.52,1.12,-14.28,9.18,9.12,170.65,17.82,32.3,1.15,-11.57,3.82,3.17,122.25
0.329,57.33,43.03,1.9,-4.91,5.26,2.27,190.0,18.32,39.95,0.98,-0.32,6.22,1.39,282.46,44.68,32.9,1.15,-11.97,3.16,7.73,267.63,57.04,35.2,1.14,-11.57,4.37,4.07,122.25
