update,episode,timestep,reward,Hum_0,Hiss_1,CL_2,Thre_3,Ratio_4,Attk_5,Release_6,Hum_7,Hiss_8,CL_9,Thre_10,Ratio_11,Attk_12,Release_13,Hum_14,Hiss_15,CL_16,Thre_17,Ratio_18,Attk_19,Release_20,Hum_21,Hiss_22,CL_23,Thre_24,Ratio_25,Attk_26,Release_27
1,1,10,0.3732,60.0,60.0,1.84,-8.98,1.0,10.0,50.0,15.0,60.0,2.0,-14.55,10.0,10.0,300.0,60.0,51.02,2.0,-6.74,10.0,0.1,300.0,15.0,60.0,0.0,0.0,10.0,10.0,300.0
1,1,11,0.3691,60.0,60.0,2.0,-12.63,2.47,6.54,120.78,19.09,60.0,2.0,-15.0,10.0,10.0,300.0,60.0,48.89,2.0,0.0,10.0,0.1,300.0,15.0,60.0,0.0,-4.59,10.0,10.0,300.0
1,1,12,0.3673,54.12,60.0,0.86,-11.81,3.15,10.0,300.0,15.0,60.0,2.0,-15.0,10.0,10.0,300.0,49.72,40.43,2.0,0.0,10.0,5.68,300.0,15.0,60.0,0.0,-2.68,10.0,10.0,300.0
1,1,13,0.3537,60.0,39.73,1.47,-15.0,1.0,9.77,227.05,17.29,60.0,2.0,-11.42,10.0,10.0,300.0,60.0,42.73,2.0,-1.3,10.0,9.09,300.0,15.0,60.0,0.0,-12.87,10.0,7.27,300.0
1,1,14,0.3332,60.0,47.04,2.0,-15.0,1.14,10.0,158.4,57.1,60.0,2.0,-15.0,10.0,10.0,300.0,60.0,35.75,2.0,0.0,10.0,10.0,300.0,15.0,60.0,0.0,-14.04,10.0,7.95,300.0
2,0,0,0.3255,42.02,40.95,2.0,0.0,1.0,5.95,300.0,60.0,54.63,0.6,-15.0,1.0,0.1,87.54,60.0,30.0,0.91,-15.0,2.65,0.1,119.67,60.0,51.29,1.31,-7.46,1.54,2.43,170.35
2,0,1,0.3017,60.0,44.88,2.0,0.0,1.0,5.19,150.43,52.91,55.8,0.88,-15.0,1.0,0.1,300.0,60.0,30.0,1.26,-15.0,1.34,0.1,50.0,60.0,56.65,1.58,-15.0,2.26,2.5,50.0
2,0,2,0.3033,60.0,46.65,2.0,0.0,2.44,8.5,135.1,24.03,57.62,2.0,-15.0,1.0,0.1,300.0,60.0,35.42,0.0,-15.0,3.23,0.1,50.0,60.0,45.36,2.0,-15.0,1.0,0.1,50.0
2,0,3,0.3004,60.0,53.46,0.94,0.0,1.53,8.14,171.73,60.0,60.0,2.0,-15.0,1.0,3.3,300.0,60.0,30.0,0.0,-15.0,4.06,0.1,50.0,60.0,31.05,1.15,-15.0,1.0,0.64,50.0
2,0,4,0.329,60.0,30.0,0.2,0.0,4.62,4.34,50.0,60.0,60.0,2.0,-15.0,1.0,0.1,300.0,60.0,30.0,0.0,-15.0,9.48,0.24,50.0,60.0,30.0,0.69,-15.0,1.0,8.12,50.0
2,0,5,0.3127,60.0,48.28,1.22,0.0,7.25,0.1,64.67,60.0,59.34,2.0,-15.0,1.0,0.1,300.0,60.0,30.0,0.0,-15.0,10.0,0.1,50.0,41.91,30.0,1.64,-15.0,1.0,6.16,50.0
2,0,6,0.3143,60.0,39.29,0.67,0.0,4.01,0.1,158.32,60.0,44.91,2.0,-15.0,1.0,0.1,300.0,60.0,30.0,0.0,-15.0,1.0,0.1,50.0,46.03,30.0,0.97,-15.0,2.75,3.76,50.0
2,0,7,0.3328,60.0,38.99,2.0,0.0,4.16,5.2,300.0,60.0,49.19,2.0,-15.0,1.0,0.1,300.0,59.5,30.0,0.0,-15.0,7.6,0.1,50.0,53.5,30.0,1.36,-15.0,1.0,0.1,50.0
2,0,8,0.3149,60.0,45.42,2.0,0.0,4.89,3.57,300.0,60.0,56.95,2.0,-15.0,1.0,0.1,300.0,60.0,30.0,0.0,-15.0,6.86,0.1,50.0,53.1,30.0,0.57,-15.0,1.0,0.1,50.0
2,0,9,0.3345,60.0,41.95,2.0,0.0,1.0,5.64,300.0,60.0,55.08,2.0,-15.0,1.0,0.1,300.0,60.0,30.0,0.0,-15.0,4.54,0.1,50.0,15.0,30.0,0.0,-15.0,1.0,0.1,50.0
2,0,10,0.3713,60.0,30.0,2.0,0.0,1.0,5.77,300.0,49.28,60.0,2.0,-15.0,1.0,0.1,300.0,60.0,30.0,0.0,-15.0,8.86,0.1,50.0,23.81,30.0,0.0,-15.0,4.28,0.1,50.0
2,0,11,0.3573,60.0,39.09,2.0,0.0,1.0,4.1,300.0,55.46,60.0,2.0,-15.0,1.0,0.1,300.0,60.0,30.0,0.0,-15.0,4.24,0.1,50.0,31.98,30.0,0.0,-15.0,10.0,0.1,50.0
2,0,12,0.357,60.0,37.91,2.0,0.0,1.0,1.24,300.0,51.8,60.0,2.0,-15.0,1.0,0.1,300.0,60.0,30.0,0.0,-15.0,7.21,0.1,50.0,15.0,30.0,0.0,-15.0,6.27,1.56,50.0
2,0,13,0.4073,60.0,30.0,2.0,0.0,1.0,5.07,300.0,15.0,60.0,2.0,-15.0,1.0,0.1,300.0,60.0,30.0,0.0,-15.0,9.18,0.1,50.0,31.31,30.0,0.0,-15.0,5.38,3.62,58.23
2,0,14,0.4039,60.0,30.0,2.0,0.0,1.0,7.84,300.0,15.0,60.0,2.0,-15.0,1.0,0.1,300.0,60.0,30.0,0.0,-15.0,6.23,0.1,50.0,60.0,30.0,0.0,-15.0,3.66,0.94,95.78
2,1,0,0.4339,24.29,60.0,0.6,-15.0,5.46,0.1,300.0,18.19,44.93,2.0,-11.58,1.8,2.21,300.0,17.66,30.0,2.0,-11.21,4.25,0.49,50.0,16.42,58.78,2.0,-6.77,1.0,10.0,286.1
2,1,1,0.3798,15.0,60.0,1.21,-13.03,2.68,0.1,300.0,37.3,60.0,2.0,-13.76,1.0,0.1,300.0,21.37,30.0,0.42,-15.0,1.3,0.1,50.0,15.0,60.0,1.43,-11.34,1.0,10.0,300.0
2,1,2,0.35,24.13,60.0,0.73,-10.26,9.76,0.1,300.0,60.0,60.0,1.56,-10.13,1.0,0.35,300.0,15.0,30.0,0.61,-3.71,1.06,0.1,50.0,44.4,60.0,2.0,-13.6,2.23,10.0,300.0
2,1,3,0.3393,15.0,60.0,0.0,-6.97,9.71,0.1,300.0,60.0,60.0,2.0,-11.37,1.0,0.38,300.0,15.0,30.0,0.0,0.0,2.04,0.1,50.0,60.0,56.04,2.0,-6.77,5.77,10.0,249.83
2,1,4,0.3591,15.0,59.03,0.64,-2.28,10.0,0.1,300.0,60.0,60.0,2.0,-15.0,5.52,6.61,300.0,15.0,30.0,0.0,0.0,1.44,0.1,50.0,60.0,55.64,2.0,-5.5,9.28,10.0,300.0
2,1,5,0.3364,15.0,52.17,0.8,-5.37,10.0,0.1,212.63,60.0,60.0,2.0,-15.0,1.0,1.53,300.0,15.0,37.59,0.0,0.0,1.0,0.1,50.0,60.0,56.57,2.0,-6.31,10.0,10.0,300.0
2,1,6,0.3194,15.0,37.46,0.68,-0.06,10.0,0.1,298.38,60.0,60.0,2.0,-15.0,1.0,2.0,300.0,15.0,55.35,0.0,0.0,2.63,0.1,50.0,60.0,42.57,2.0,-5.33,10.0,10.0,300.0
