update,episode,timestep,reward,Hum_0,Hiss_1,CL_2,Thre_3,Ratio_4,Attk_5,Release_6,Hum_7,Hiss_8,CL_9,Thre_10,Ratio_11,Attk_12,Release_13,Hum_14,Hiss_15,CL_16,Thre_17,Ratio_18,Attk_19,Release_20,Hum_21,Hiss_22,CL_23,Thre_24,Ratio_25,Attk_26,Release_27
1,0,13,0.4312,15.0,46.79,1.63,-15.0,10.0,0.1,50.0,60.0,60.0,2.0,-13.94,7.82,0.1,105.91,15.0,60.0,2.0,0.0,1.39,10.0,300.0,60.0,30.0,1.12,0.0,8.5,10.0,300.0
1,0,14,0.4553,15.0,30.0,2.0,-15.0,10.0,0.1,50.0,60.0,60.0,2.0,-14.56,10.0,0.1,132.91,15.0,60.0,2.0,-1.8,3.75,10.0,300.0,60.0,30.06,0.57,0.0,1.0,10.0,300.0
1,1,0,0.3253,21.65,30.0,1.42,-9.67,10.0,0.1,125.94,41.57,39.49,0.92,-5.42,5.66,10.0,239.07,19.76,60.0,1.82,-1.85,3.46,6.9,300.0,60.0,51.5,1.23,-15.0,2.91,9.58,94.91
1,1,1,0.3278,15.0,30.0,0.72,-1.81,10.0,0.1,243.6,60.0,31.11,0.0,0.0,1.0,10.0,237.62,36.18,57.98,2.0,-8.04,4.64,9.51,300.0,38.13,30.0,1.73,-8.72,1.0,7.18,50.0
1,1,2,0.3538,26.49,30.0,1.79,-15.0,10.0,0.1,300.0,58.32,30.0,0.0,0.0,1.0,10.0,169.03,59.75,50.85,2.0,-3.89,6.61,4.23,300.0,52.25,30.0,2.0,-11.27,1.0,8.2,50.0
1,1,3,0.3494,21.49,30.0,1.84,-14.42,10.0,0.1,300.0,30.68,30.0,0.0,0.0,1.0,9.36,223.23,60.0,51.01,2.0,0.0,10.0,1.54,300.0,42.03,42.9,2.0,-15.0,1.0,10.0,50.0
1,1,4,0.334,39.75,30.0,0.0,-15.0,10.0,0.1,300.0,19.63,30.0,0.0,0.0,1.0,8.85,60.31,60.0,60.0,2.0,0.0,10.0,0.1,300.0,53.98,50.35,2.0,-7.79,1.0,10.0,50.0
1,1,5,0.3265,46.86,60.0,0.71,-15.0,10.0,0.1,300.0,15.0,30.07,0.0,0.0,1.0,8.84,123.82,60.0,60.0,2.0,0.0,10.0,0.1,300.0,60.0,60.0,2.0,0.0,10.0,1.53,50.0
1,1,6,0.2796,60.0,60.0,0.0,-13.59,10.0,0.1,300.0,23.32,30.0,0.0,0.0,1.0,5.85,50.0,60.0,60.0,1.98,0.0,10.0,0.1,188.41,60.0,60.0,2.0,0.0,10.0,0.1,50.0
1,1,7,0.3161,44.72,60.0,0.15,-15.0,10.0,0.1,263.01,16.21,30.0,0.0,0.0,1.0,1.13,50.0,50.87,60.0,2.0,0.0,10.0,0.1,300.0,60.0,60.0,2.0,0.0,3.95,1.04,50.0
1,1,8,0.3277,43.85,60.0,0.0,-15.0,10.0,0.1,300.0,15.0,30.0,0.0,0.0,1.0,6.06,114.53,60.0,60.0,2.0,0.0,10.0,2.45,300.0,60.0,54.93,2.0,0.0,9.07,0.1,50.0
1,1,9,0.2798,54.62,60.0,0.9,-15.0,10.0,0.1,300.0,53.92,30.0,0.0,0.0,1.0,7.53,72.98,51.5,60.0,2.0,0.0,10.0,1.51,300.0,60.0,37.39,2.0,0.0,10.0,0.1,50.0
1,1,10,0.3037,60.0,60.0,2.0,-15.0,10.0,0.1,161.62,58.0,30.0,0.38,0.0,1.0,0.1,50.0,60.0,60.0,2.0,0.0,9.66,1.61,300.0,60.0,42.45,2.0,0.0,10.0,0.1,50.0
1,1,11,0.2784,60.0,55.65,2.0,-15.0,10.0,0.1,183.36,55.26,40.4,0.26,0.0,1.0,0.1,117.42,60.0,60.0,2.0,0.0,5.34,0.1,300.0,60.0,60.0,2.0,0.0,10.0,0.1,50.0
1,1,12,0.2718,53.73,60.0,2.0,-15.0,10.0,0.1,286.27,60.0,42.04,1.08,0.0,1.0,4.82,50.0,41.21,60.0,2.0,0.0,1.0,0.1,215.87,47.43,60.0,2.0,0.0,6.77,0.1,50.0
1,1,13,0.2901,56.89,60.0,2.0,-15.0,10.0,0.1,295.53,60.0,34.16,2.0,0.0,1.0,8.54,126.88,60.0,60.0,2.0,0.0,1.0,0.1,226.28,35.03,60.0,2.0,0.0,6.69,0.1,50.0
